author,total_commits,mixed_commits,source_commits,test_commits,comment_commits,total_changes,source_changes,comment_changes,test_changes,bundling,start_date,end_date,deadline,sessions,avg_commits,index
"author27 submission_1770904","11","72.73 % (8)","0.00 % (0)","27.27 % (3)","0.00 % (0)","100.00 % (456)","41.89 % (191)","2.19 % (10)","55.92 % (255)","0.3","30.5.2023 15:59:51","3.6.2023 13:12:25","4.6.2023 23:59:59","4","2.8","0"
"author28 submission_1770908","36","5.56 % (2)","11.11 % (4)","83.33 % (30)","0.00 % (0)","100.00 % (467)","32.33 % (151)","11.78 % (55)","55.89 % (261)","0.22","4.6.2023 20:31:38","4.6.2023 23:28:11","4.6.2023 23:59:59","1","36","0.5"
"author29 submission_1770912","4","100.00 % (4)","0.00 % (0)","0.00 % (0)","0.00 % (0)","100.00 % (417)","41.49 % (173)","2.64 % (11)","55.88 % (233)","0.63","1.6.2023 15:34:17","4.6.2023 23:55:05","4.6.2023 23:59:59","3","1.3","0"
"author30 submission_1770913","5","80.00 % (4)","0.00 % (0)","20.00 % (1)","0.00 % (0)","100.00 % (204)","29.41 % (60)","7.35 % (15)","63.24 % (129)","0.56","3.6.2023 17:05:32","4.6.2023 21:56:52","4.6.2023 23:59:59","3","1.7","0.13"
"author31 submission_1770914","13","53.85 % (7)","7.69 % (1)","38.46 % (5)","0.00 % (0)","100.00 % (887)","32.24 % (286)","7.67 % (68)","60.09 % (533)","0.17","17.5.2023 19:06:47","4.6.2023 21:48:51","4.6.2023 23:59:59","7","1.9","0"
"author32 submission_1770915","7","57.14 % (4)","14.29 % (1)","28.57 % (2)","0.00 % (0)","100.00 % (249)","53.41 % (133)","1.61 % (4)","44.98 % (112)","0.32","3.6.2023 13:24:45","3.6.2023 15:45:17","4.6.2023 23:59:59","1","7","0"
"author33 - author34 submission_1770918","24","87.50 % (21)","4.17 % (1)","8.33 % (2)","0.00 % (0)","100.00 % (708)","37.85 % (268)","7.34 % (52)","54.80 % (388)","0.12","23.5.2023 23:47:48","3.6.2023 23:40:06","4.6.2023 23:59:59","16","1.5","0"
"author35 submission_1770920","10","0.00 % (0)","90.00 % (9)","10.00 % (1)","0.00 % (0)","100.00 % (517)","24.37 % (126)","0.77 % (4)","74.85 % (387)","0.75","4.6.2023 18:18:19","4.6.2023 18:43:09","4.6.2023 23:59:59","1","10","0.5"
"author36 submission_1770921","8","100.00 % (8)","0.00 % (0)","0.00 % (0)","0.00 % (0)","100.00 % (341)","41.35 % (141)","2.93 % (10)","55.72 % (190)","0.21","24.5.2023 17:41:38","4.6.2023 23:48:26","4.6.2023 23:59:59","5","1.6","0"
"author37 submission_1770923","11","36.36 % (4)","45.45 % (5)","18.18 % (2)","0.00 % (0)","100.00 % (388)","51.80 % (201)","2.84 % (11)","45.36 % (176)","0.19","2.6.2023 18:14:09","4.6.2023 15:07:52","4.6.2023 23:59:59","4","2.8","0"
"author38 submission_1770924","14","21.43 % (3)","78.57 % (11)","0.00 % (0)","0.00 % (0)","100.00 % (571)","76.01 % (434)","1.05 % (6)","22.94 % (131)","0.2","24.5.2023 12:55:26","4.6.2023 20:19:35","4.6.2023 23:59:59","5","2.8","0"
"author39 submission_1770926","7","71.43 % (5)","28.57 % (2)","0.00 % (0)","0.00 % (0)","100.00 % (303)","61.06 % (185)","11.22 % (34)","27.72 % (84)","0.32","1.6.2023 15:35:17","4.6.2023 16:12:59","4.6.2023 23:59:59","5","1.4","0"
"author40 submission_1770928","3","66.67 % (2)","33.33 % (1)","0.00 % (0)","0.00 % (0)","100.00 % (376)","41.76 % (157)","5.59 % (21)","52.66 % (198)","0.61","22.5.2023 10:51:08","4.6.2023 23:46:04","4.6.2023 23:59:59","3","1","0.25"
"author17 submission_1770929","8","37.50 % (3)","25.00 % (2)","37.50 % (3)","0.00 % (0)","100.00 % (333)","43.54 % (145)","3.60 % (12)","52.85 % (176)","0.4","31.5.2023 18:25:20","4.6.2023 23:58:14","4.6.2023 23:59:59","3","2.7","0"
"author41 submission_1770930","7","71.43 % (5)","0.00 % (0)","28.57 % (2)","0.00 % (0)","100.00 % (487)","32.85 % (160)","2.67 % (13)","64.48 % (314)","0.25","4.6.2023 21:01:15","4.6.2023 23:15:57","4.6.2023 23:59:59","1","7","0.5"
"author42 submission_1770931","11","27.27 % (3)","27.27 % (3)","45.45 % (5)","0.00 % (0)","100.00 % (823)","26.73 % (220)","0.73 % (6)","72.54 % (597)","0.41","21.5.2023 14:37:24","1.6.2023 11:14:01","4.6.2023 23:59:59","7","1.6","0"
"author43 submission_1770932","7","100.00 % (7)","0.00 % (0)","0.00 % (0)","0.00 % (0)","100.00 % (315)","47.62 % (150)","14.92 % (47)","37.46 % (118)","0.32","24.5.2023 17:47:02","4.6.2023 23:46:49","4.6.2023 23:59:59","3","2.3","0"
"author44 - author45 submission_1770934","6","66.67 % (4)","0.00 % (0)","33.33 % (2)","0.00 % (0)","100.00 % (336)","33.04 % (111)","5.36 % (18)","61.61 % (207)","0.37","4.6.2023 10:30:40","4.6.2023 21:20:23","4.6.2023 23:59:59","3","2","0.38"
"author46 submission_1770935","10","80.00 % (8)","10.00 % (1)","10.00 % (1)","0.00 % (0)","100.00 % (520)","45.77 % (238)","1.15 % (6)","53.08 % (276)","0.32","24.5.2023 17:48:59","31.5.2023 20:50:36","4.6.2023 23:59:59","7","1.4","0"
"author47 submission_1770937","4","75.00 % (3)","25.00 % (1)","0.00 % (0)","0.00 % (0)","100.00 % (131)","68.70 % (90)","3.05 % (4)","28.24 % (37)","0.56","4.6.2023 22:12:03","4.6.2023 23:51:28","4.6.2023 23:59:59","1","4","0.75"
"author48 submission_1770939","5","40.00 % (2)","20.00 % (1)","40.00 % (2)","0.00 % (0)","100.00 % (320)","51.56 % (165)","1.88 % (6)","46.56 % (149)","0.46","1.6.2023 16:10:16","4.6.2023 14:22:15","4.6.2023 23:59:59","3","1.7","0"
"author49 submission_1770940","8","25.00 % (2)","50.00 % (4)","25.00 % (2)","0.00 % (0)","100.00 % (187)","63.10 % (118)","4.28 % (8)","32.62 % (61)","0.5","29.5.2023 10:12:25","4.6.2023 23:22:02","4.6.2023 23:59:59","2","4","0.25"
"author50 submission_1770943","3","0.00 % (0)","66.67 % (2)","33.33 % (1)","0.00 % (0)","100.00 % (409)","41.08 % (168)","3.18 % (13)","55.75 % (228)","0.78","4.6.2023 15:50:11","4.6.2023 15:59:18","4.6.2023 23:59:59","1","3","0.5"
"author51 submission_1770944","6","33.33 % (2)","50.00 % (3)","16.67 % (1)","0.00 % (0)","100.00 % (245)","53.47 % (131)","2.86 % (7)","43.67 % (107)","0.38","4.6.2023 22:38:58","4.6.2023 23:59:17","4.6.2023 23:59:59","1","6","0.5"
"author52 submission_1770945","7","0.00 % (0)","71.43 % (5)","28.57 % (2)","0.00 % (0)","100.00 % (309)","43.69 % (135)","0.97 % (3)","55.34 % (171)","0.3","4.6.2023 19:30:30","4.6.2023 21:03:24","4.6.2023 23:59:59","1","7","0.5"
"author53 submission_1770946","6","16.67 % (1)","50.00 % (3)","33.33 % (2)","0.00 % (0)","100.00 % (777)","33.72 % (262)","5.41 % (42)","60.88 % (473)","0.56","4.6.2023 20:28:34","4.6.2023 23:32:03","4.6.2023 23:59:59","1","6","0.5"
"author54 submission_1770947","3","66.67 % (2)","33.33 % (1)","0.00 % (0)","0.00 % (0)","100.00 % (413)","40.68 % (168)","3.15 % (13)","56.17 % (232)","0.5","4.6.2023 15:50:08","4.6.2023 15:59:09","4.6.2023 23:59:59","1","3","0.5"
"author55 submission_1770948","7","57.14 % (4)","14.29 % (1)","0.00 % (0)","28.57 % (2)","100.00 % (401)","38.90 % (156)","8.98 % (36)","52.12 % (209)","0.49","17.5.2023 17:26:22","4.6.2023 20:47:06","4.6.2023 23:59:59","3","2.3","0"
