author,total_commits,mixed_commits,source_commits,test_commits,comment_commits,total_changes,source_changes,comment_changes,test_changes,bundling,start_date,end_date,deadline,first_on_deadline,late_start,sessions,avg_commits,avg_changes,index
"author1 submission_1979093","13","46.15 % (6)","30.77 % (4)","23.08 % (3)","0.00 % (0)","100.00 % (147)","61.22 % (90)","3.40 % (5)","35.37 % (52)","0.22","29.5.2024 13:00:24","2.6.2024 13:59:28","2.6.2024 23:59:59","nein","nein","6","2.2","53","0.34"
"author3 submission_1979095","1","100.00 % (1)","0.00 % (0)","0.00 % (0)","0.00 % (0)","100.00 % (120)","55.83 % (67)","7.50 % (9)","36.67 % (44)","1","2.6.2024 22:30:17","2.6.2024 22:30:17","2.6.2024 23:59:59","ja","ja","1","1","120","0.77"
"author4 submission_1979099","5","60.00 % (3)","0.00 % (0)","40.00 % (2)","0.00 % (0)","100.00 % (282)","32.62 % (92)","2.13 % (6)","65.25 % (184)","0.46","2.6.2024 12:23:59","2.6.2024 23:19:01","2.6.2024 23:59:59","ja","nein","3","1.7","94","0.37"
"author5 submission_1979101","4","100.00 % (4)","0.00 % (0)","0.00 % (0)","0.00 % (0)","100.00 % (375)","33.87 % (127)","27.20 % (102)","38.93 % (146)","0.52","29.5.2024 13:35:40","2.6.2024 22:12:43","2.6.2024 23:59:59","nein","nein","3","1.3","125","0.19"
"author6 submission_1979103","9","11.11 % (1)","55.56 % (5)","22.22 % (2)","11.11 % (1)","100.00 % (320)","38.44 % (123)","5.63 % (18)","55.94 % (179)","0.36","1.6.2024 10:53:08","1.6.2024 21:32:39","2.6.2024 23:59:59","nein","nein","2","4.5","57","0"
"author7 submission_1979104","12","16.67 % (2)","75.00 % (9)","8.33 % (1)","0.00 % (0)","100.00 % (233)","67.38 % (157)","5.58 % (13)","27.04 % (63)","0.2","25.5.2024 20:35:12","30.5.2024 23:08:56","2.6.2024 23:59:59","nein","nein","5","2.4","33","0.18"
"author8 submission_1979105","9","77.78 % (7)","0.00 % (0)","22.22 % (2)","0.00 % (0)","100.00 % (269)","39.41 % (106)","2.60 % (7)","57.99 % (156)","0.25","30.5.2024 09:04:52","1.6.2024 20:05:08","2.6.2024 23:59:59","nein","nein","2","4.5","81","0"
"author9 submission_1979106","5","80.00 % (4)","0.00 % (0)","20.00 % (1)","0.00 % (0)","100.00 % (356)","55.62 % (198)","4.49 % (16)","39.89 % (142)","0.46","29.5.2024 14:42:20","31.5.2024 10:27:36","2.6.2024 23:59:59","nein","nein","3","1.7","119","0.19"
"author10 - author11 submission_1979107","9","44.44 % (4)","11.11 % (1)","33.33 % (3)","11.11 % (1)","100.00 % (178)","38.76 % (69)","8.99 % (16)","52.25 % (93)","0.38","31.5.2024 23:11:35","2.6.2024 14:17:37","2.6.2024 23:59:59","nein","nein","4","2.3","35","0"
"author12 submission_1979108","6","50.00 % (3)","16.67 % (1)","33.33 % (2)","0.00 % (0)","100.00 % (314)","44.27 % (139)","3.18 % (10)","52.55 % (165)","0.4","23.5.2024 17:48:11","23.5.2024 20:56:25","2.6.2024 23:59:59","nein","nein","1","6","100","0.19"
"author13 submission_1979109","9","22.22 % (2)","44.44 % (4)","33.33 % (3)","0.00 % (0)","100.00 % (264)","44.70 % (118)","2.27 % (6)","53.03 % (140)","0.34","30.5.2024 15:12:59","31.5.2024 00:39:00","2.6.2024 23:59:59","nein","nein","3","3","186","0.15"
"author14 submission_1979112","4","75.00 % (3)","0.00 % (0)","25.00 % (1)","0.00 % (0)","100.00 % (211)","40.28 % (85)","0.47 % (1)","59.24 % (125)","0.69","31.5.2024 18:28:33","2.6.2024 22:13:01","2.6.2024 23:59:59","nein","nein","2","2","106","0.19"
"author15 submission_1979114","1","100.00 % (1)","0.00 % (0)","0.00 % (0)","0.00 % (0)","100.00 % (143)","46.85 % (67)","6.29 % (9)","46.85 % (67)","1","31.5.2024 23:55:39","31.5.2024 23:55:39","2.6.2024 23:59:59","nein","nein","1","1","143","0.67"
"author16 submission_1979115","2","50.00 % (1)","0.00 % (0)","50.00 % (1)","0.00 % (0)","100.00 % (308)","38.64 % (119)","2.27 % (7)","59.09 % (182)","0.99","2.6.2024 12:06:19","2.6.2024 12:10:02","2.6.2024 23:59:59","ja","nein","1","2","308","0.51"
"author17 submission_1979116","9","77.78 % (7)","11.11 % (1)","11.11 % (1)","0.00 % (0)","100.00 % (547)","38.94 % (213)","13.16 % (72)","47.90 % (262)","0.38","23.5.2024 20:28:31","2.6.2024 21:01:54","2.6.2024 23:59:59","nein","nein","6","1.5","91","0"
"author18 submission_1979119","8","25.00 % (2)","37.50 % (3)","37.50 % (3)","0.00 % (0)","100.00 % (512)","40.23 % (206)","2.34 % (12)","57.42 % (294)","0.82","2.6.2024 10:13:09","2.6.2024 16:19:34","2.6.2024 23:59:59","ja","nein","2","4","1275","0.41"
"author19 submission_1979120","6","33.33 % (2)","33.33 % (2)","33.33 % (2)","0.00 % (0)","100.00 % (220)","48.18 % (106)","2.27 % (5)","49.55 % (109)","0.43","2.6.2024 17:58:03","2.6.2024 19:25:28","2.6.2024 23:59:59","ja","nein","1","6","151","0.51"
"author20 submission_1979124","7","57.14 % (4)","0.00 % (0)","42.86 % (3)","0.00 % (0)","100.00 % (623)","16.37 % (102)","4.33 % (27)","79.29 % (494)","0.35","30.5.2024 19:42:16","2.6.2024 20:03:00","2.6.2024 23:59:59","nein","nein","3","2.3","218","0.15"
"author21 submission_1979125","4","50.00 % (2)","50.00 % (2)","0.00 % (0)","0.00 % (0)","100.00 % (221)","50.23 % (111)","8.14 % (18)","41.63 % (92)","0.88","31.5.2024 09:58:35","2.6.2024 14:10:51","2.6.2024 23:59:59","nein","nein","2","2","111","0.19"
"author22 submission_1979127","2","100.00 % (2)","0.00 % (0)","0.00 % (0)","0.00 % (0)","100.00 % (243)","44.44 % (108)","2.47 % (6)","53.09 % (129)","0.79","2.6.2024 12:27:32","2.6.2024 23:47:19","2.6.2024 23:59:59","ja","nein","2","1","122","0.37"
"author23 submission_1979128","4","75.00 % (3)","0.00 % (0)","25.00 % (1)","0.00 % (0)","100.00 % (289)","34.95 % (101)","1.73 % (5)","63.32 % (183)","0.51","1.6.2024 11:06:50","2.6.2024 17:47:24","2.6.2024 23:59:59","nein","nein","2","2","111","0.19"
"author24 submission_1979130","6","83.33 % (5)","0.00 % (0)","16.67 % (1)","0.00 % (0)","100.00 % (186)","56.45 % (105)","6.99 % (13)","36.56 % (68)","0.55","31.5.2024 21:20:52","2.6.2024 14:46:45","2.6.2024 23:59:59","nein","nein","4","1.5","49","0.45"
"author25 submission_1979131","1","100.00 % (1)","0.00 % (0)","0.00 % (0)","0.00 % (0)","100.00 % (294)","49.66 % (146)","2.38 % (7)","47.96 % (141)","1","2.6.2024 13:16:42","2.6.2024 13:16:42","2.6.2024 23:59:59","ja","nein","1","1","294","0.51"
"author26 submission_1979132","5","60.00 % (3)","20.00 % (1)","20.00 % (1)","0.00 % (0)","100.00 % (223)","48.43 % (108)","4.04 % (9)","47.53 % (106)","0.36","31.5.2024 14:40:07","2.6.2024 17:55:51","2.6.2024 23:59:59","nein","nein","4","1.3","56","0.19"
"author27 submission_1979133","12","0.00 % (0)","41.67 % (5)","58.33 % (7)","0.00 % (0)","100.00 % (160)","43.13 % (69)","0.00 % (0)","56.88 % (91)","0.19","1.6.2024 15:02:58","2.6.2024 15:04:28","2.6.2024 23:59:59","nein","nein","3","4","35","0.34"
"author28 submission_1979135","5","40.00 % (2)","60.00 % (3)","0.00 % (0)","0.00 % (0)","100.00 % (150)","77.33 % (116)","0.00 % (0)","22.67 % (34)","0.46","1.6.2024 16:06:39","2.6.2024 14:11:11","2.6.2024 23:59:59","nein","nein","2","2.5","66","0.53"
"author29 submission_1979137","6","83.33 % (5)","16.67 % (1)","0.00 % (0)","0.00 % (0)","100.00 % (148)","67.57 % (100)","6.08 % (9)","26.35 % (39)","0.47","31.5.2024 20:26:39","2.6.2024 14:12:47","2.6.2024 23:59:59","nein","nein","3","2","75","0.61"
"author30 submission_1979138","5","60.00 % (3)","20.00 % (1)","20.00 % (1)","0.00 % (0)","100.00 % (88)","42.05 % (37)","4.55 % (4)","53.41 % (47)","0.36","30.5.2024 22:05:44","2.6.2024 22:50:07","2.6.2024 23:59:59","nein","nein","4","1.3","22","0.53"
"author31 submission_1979139","3","66.67 % (2)","33.33 % (1)","0.00 % (0)","0.00 % (0)","100.00 % (209)","38.76 % (81)","11.00 % (23)","50.24 % (105)","0.5","2.6.2024 21:30:42","2.6.2024 23:44:39","2.6.2024 23:59:59","ja","ja","2","1.5","105","0.43"
"author32 submission_1979140","11","54.55 % (6)","9.09 % (1)","36.36 % (4)","0.00 % (0)","100.00 % (272)","46.32 % (126)","2.94 % (8)","50.74 % (138)","0.17","29.5.2024 08:46:24","31.5.2024 14:55:31","2.6.2024 23:59:59","nein","nein","4","2.8","59","0"
"author33 submission_1979141","1","100.00 % (1)","0.00 % (0)","0.00 % (0)","0.00 % (0)","100.00 % (114)","50.88 % (58)","0.00 % (0)","49.12 % (56)","1","2.6.2024 22:38:34","2.6.2024 22:38:34","2.6.2024 23:59:59","ja","ja","1","1","114","0.77"
"author34 submission_1979142","8","75.00 % (6)","12.50 % (1)","12.50 % (1)","0.00 % (0)","100.00 % (312)","47.12 % (147)","4.17 % (13)","48.72 % (152)","0.2","27.5.2024 16:20:59","2.6.2024 14:04:43","2.6.2024 23:59:59","nein","nein","3","2.7","62","0"
