author,total_commits,mixed_commits,source_commits,test_commits,comment_commits,total_changes,source_changes,comment_changes,test_changes,bundling,start_date,end_date,deadline,sessions,avg_commits,index
"author1 submission_2197336","8","50.00 % (4)","25.00 % (2)","25.00 % (2)","0.00 % (0)","100.00 % (1972)","24.29 % (479)","0.91 % (18)","74.80 % (1475)","0.59","3.6.2025 15:51:07","8.6.2025 22:50:39","8.6.2025 23:59:59","7","1.3","0"
"author3 submission_2197337","11","18.18 % (2)","36.36 % (4)","45.45 % (5)","0.00 % (0)","100.00 % (984)","26.52 % (261)","1.32 % (13)","72.15 % (710)","0.51","2.6.2025 16:33:26","8.6.2025 23:31:56","8.6.2025 23:59:59","8","1.5","0"
"author4 submission_2197338","3","66.67 % (2)","0.00 % (0)","33.33 % (1)","0.00 % (0)","100.00 % (610)","29.34 % (179)","4.26 % (26)","66.39 % (405)","0.64","7.6.2025 12:55:42","8.6.2025 10:33:05","8.6.2025 23:59:59","4","1","0.38"
"author5 submission_2197339","10","50.00 % (5)","10.00 % (1)","40.00 % (4)","0.00 % (0)","100.00 % (1849)","14.33 % (265)","1.30 % (24)","84.37 % (1560)","0.5","2.6.2025 15:30:50","8.6.2025 21:05:55","8.6.2025 23:59:59","6","1.8","0"
"author6 submission_2197340","8","25.00 % (2)","37.50 % (3)","37.50 % (3)","0.00 % (0)","100.00 % (665)","37.59 % (250)","0.15 % (1)","62.26 % (414)","0.41","2.6.2025 17:11:38","8.6.2025 17:32:14","8.6.2025 23:59:59","5","1.8","0"
"author7 submission_2197341","6","50.00 % (3)","33.33 % (2)","16.67 % (1)","0.00 % (0)","100.00 % (674)","54.75 % (369)","0.89 % (6)","44.36 % (299)","0.3","7.6.2025 15:03:36","8.6.2025 18:48:05","8.6.2025 23:59:59","5","1.4","0"
"author8 submission_2197342","17","0.00 % (0)","76.47 % (13)","17.65 % (3)","5.88 % (1)","100.00 % (452)","65.27 % (295)","1.33 % (6)","33.41 % (151)","0.16","8.6.2025 14:11:21","8.6.2025 22:48:30","8.6.2025 23:59:59","2","9","0.25"
"author9 submission_2197343","14","21.43 % (3)","28.57 % (4)","42.86 % (6)","7.14 % (1)","100.00 % (2678)","21.77 % (583)","0.15 % (4)","78.08 % (2091)","0.32","3.6.2025 11:08:09","8.6.2025 12:13:42","8.6.2025 23:59:59","10","1.5","0"
"author10 submission_2197344","7","42.86 % (3)","42.86 % (3)","14.29 % (1)","0.00 % (0)","100.00 % (415)","53.98 % (224)","1.45 % (6)","44.58 % (185)","0.36","6.6.2025 13:19:18","7.6.2025 22:29:30","8.6.2025 23:59:59","4","2","0.13"
"author11 submission_2197345","17","23.53 % (4)","17.65 % (3)","58.82 % (10)","0.00 % (0)","100.00 % (3548)","12.43 % (441)","0.31 % (11)","87.26 % (3096)","0.27","5.6.2025 11:42:02","8.6.2025 12:30:21","8.6.2025 23:59:59","7","2.6","0"
"author12 submission_2197347","11","36.36 % (4)","27.27 % (3)","36.36 % (4)","0.00 % (0)","100.00 % (10592)","3.47 % (368)","0.13 % (14)","96.39 % (10210)","0.66","28.5.2025 18:57:19","7.6.2025 14:06:17","8.6.2025 23:59:59","6","2","0"
