author,total_commits,mixed_commits,source_commits,test_commits,comment_commits,total_changes,source_changes,comment_changes,test_changes,bundling,start_date,end_date,deadline,sessions,avg_commits,index
"author13 submission_2197349","12","41.67 % (5)","25.00 % (3)","33.33 % (4)","0.00 % (0)","100.00 % (1205)","24.65 % (297)","3.24 % (39)","72.12 % (869)","0.21","8.6.2025 00:40:19","8.6.2025 23:41:28","8.6.2025 23:59:59","5","2.6","0.25"
"author14 submission_2197350","5","0.00 % (0)","80.00 % (4)","20.00 % (1)","0.00 % (0)","100.00 % (315)","54.29 % (171)","0.63 % (2)","45.08 % (142)","0.5","8.6.2025 13:41:27","8.6.2025 21:36:43","8.6.2025 23:59:59","4","1.5","0.63"
"author15 submission_2197352","30","30.00 % (9)","16.67 % (5)","50.00 % (15)","3.33 % (1)","100.00 % (5559)","16.87 % (938)","2.43 % (135)","80.70 % (4486)","0.38","28.5.2025 08:37:55","5.6.2025 10:44:07","8.6.2025 23:59:59","19","1.6","0"
"author16 submission_2197353","10","20.00 % (2)","40.00 % (4)","40.00 % (4)","0.00 % (0)","100.00 % (1376)","24.20 % (333)","0.94 % (13)","74.85 % (1030)","0.37","3.6.2025 11:52:48","8.6.2025 19:34:41","8.6.2025 23:59:59","9","1.2","0"
"author17 submission_2197355","11","27.27 % (3)","45.45 % (5)","27.27 % (3)","0.00 % (0)","100.00 % (687)","53.57 % (368)","3.35 % (23)","43.09 % (296)","0.34","2.6.2025 16:09:15","8.6.2025 23:17:53","8.6.2025 23:59:59","7","1.7","0"
"author18 submission_2197357","8","50.00 % (4)","37.50 % (3)","12.50 % (1)","0.00 % (0)","100.00 % (661)","61.27 % (405)","4.54 % (30)","34.19 % (226)","0.31","4.6.2025 13:43:48","8.6.2025 23:57:41","8.6.2025 23:59:59","6","1.5","0"
"author19 submission_2197358","19","36.84 % (7)","5.26 % (1)","57.89 % (11)","0.00 % (0)","100.00 % (1889)","20.43 % (386)","0.26 % (5)","79.30 % (1498)","0.12","3.6.2025 15:11:58","8.6.2025 23:41:22","8.6.2025 23:59:59","3","6.7","0"
"author20 submission_2197359","9","22.22 % (2)","33.33 % (3)","44.44 % (4)","0.00 % (0)","100.00 % (541)","46.21 % (250)","1.66 % (9)","52.13 % (282)","0.17","8.6.2025 17:43:33","8.6.2025 23:08:01","8.6.2025 23:59:59","2","5","0.25"
"author21 submission_2197360","6","33.33 % (2)","16.67 % (1)","50.00 % (3)","0.00 % (0)","100.00 % (823)","34.75 % (286)","3.65 % (30)","61.60 % (507)","0.27","3.6.2025 10:44:39","8.6.2025 17:52:18","8.6.2025 23:59:59","7","1","0"
"author22 - author23 submission_2197361","9","44.44 % (4)","44.44 % (4)","11.11 % (1)","0.00 % (0)","100.00 % (1464)","51.23 % (750)","1.16 % (17)","47.61 % (697)","0.42","7.6.2025 20:07:10","8.6.2025 23:50:18","8.6.2025 23:59:59","5","2","0"
"author22 submission_2197362","7","42.86 % (3)","28.57 % (2)","28.57 % (2)","0.00 % (0)","100.00 % (1089)","54.82 % (597)","0.00 % (0)","45.18 % (492)","0.38","8.6.2025 16:04:20","8.6.2025 22:48:53","8.6.2025 23:59:59","3","2.7","0.25"
"author24 submission_2197363","9","33.33 % (3)","11.11 % (1)","55.56 % (5)","0.00 % (0)","100.00 % (1789)","18.45 % (330)","0.61 % (11)","80.94 % (1448)","0.25","7.6.2025 17:39:12","8.6.2025 21:14:25","8.6.2025 23:59:59","4","2.5","0"
"author25 submission_2197364","5","20.00 % (1)","80.00 % (4)","0.00 % (0)","0.00 % (0)","100.00 % (759)","72.99 % (554)","0.40 % (3)","26.61 % (202)","0.38","3.6.2025 16:46:29","8.6.2025 21:11:55","8.6.2025 23:59:59","4","1.5","0.25"
"author26 - author27 submission_2197365","8","12.50 % (1)","87.50 % (7)","0.00 % (0)","0.00 % (0)","100.00 % (502)","91.04 % (457)","7.57 % (38)","1.39 % (7)","0.46","3.6.2025 17:54:59","8.6.2025 23:20:07","8.6.2025 23:59:59","2","4.5","0"
"author28 submission_2197366","7","28.57 % (2)","71.43 % (5)","0.00 % (0)","0.00 % (0)","100.00 % (389)","65.30 % (254)","1.80 % (7)","32.90 % (128)","0.41","8.6.2025 02:55:14","8.6.2025 22:29:59","8.6.2025 23:59:59","2","4","0.25"
"author29 submission_2197367","9","44.44 % (4)","44.44 % (4)","11.11 % (1)","0.00 % (0)","100.00 % (657)","64.54 % (424)","8.68 % (57)","26.79 % (176)","0.27","6.6.2025 12:42:44","8.6.2025 22:53:40","8.6.2025 23:59:59","5","2","0"
"author30 submission_2197368","10","40.00 % (4)","30.00 % (3)","30.00 % (3)","0.00 % (0)","100.00 % (555)","53.87 % (299)","0.18 % (1)","45.95 % (255)","0.21","6.6.2025 17:00:28","8.6.2025 17:53:55","8.6.2025 23:59:59","7","1.6","0"
"author31 submission_2197369","2","0.00 % (0)","50.00 % (1)","50.00 % (1)","0.00 % (0)","100.00 % (695)","21.73 % (151)","0.43 % (3)","77.84 % (541)","0.96","21.6.2025 03:54:15","22.6.2025 22:44:48","8.6.2025 23:59:59","3","1","0.63"
"author32 submission_2197370","6","33.33 % (2)","33.33 % (2)","33.33 % (2)","0.00 % (0)","100.00 % (1401)","29.91 % (419)","3.64 % (51)","66.45 % (931)","0.81","6.6.2025 23:30:08","8.6.2025 15:27:48","8.6.2025 23:59:59","4","1.8","0"
"author33 submission_2197372","9","55.56 % (5)","33.33 % (3)","11.11 % (1)","0.00 % (0)","100.00 % (734)","52.72 % (387)","1.50 % (11)","45.78 % (336)","0.4","8.6.2025 15:22:43","8.6.2025 23:38:40","8.6.2025 23:59:59","2","5","0.25"
"author34 submission_2197373","10","20.00 % (2)","50.00 % (5)","30.00 % (3)","0.00 % (0)","100.00 % (1010)","37.23 % (376)","1.78 % (18)","60.99 % (616)","0.38","4.6.2025 14:44:22","8.6.2025 21:31:58","8.6.2025 23:59:59","9","1.2","0"
"author35 submission_2197374","7","42.86 % (3)","57.14 % (4)","0.00 % (0)","0.00 % (0)","100.00 % (1184)","63.85 % (756)","3.04 % (36)","33.11 % (392)","0.42","4.6.2025 00:58:35","8.6.2025 21:37:54","8.6.2025 23:59:59","8","1","0"
"author36 submission_2197375","7","57.14 % (4)","14.29 % (1)","28.57 % (2)","0.00 % (0)","100.00 % (932)","29.51 % (275)","0.00 % (0)","70.49 % (657)","0.44","7.6.2025 15:24:38","8.6.2025 23:09:05","8.6.2025 23:59:59","4","2","0"
"author37 submission_2197376","23","26.09 % (6)","8.70 % (2)","65.22 % (15)","0.00 % (0)","100.00 % (2454)","15.48 % (380)","3.63 % (89)","80.89 % (1985)","0.11","18.6.2025 14:58:34","22.6.2025 18:03:48","8.6.2025 23:59:59","6","4","0.25"
"author38 submission_2197377","6","83.33 % (5)","0.00 % (0)","16.67 % (1)","0.00 % (0)","100.00 % (851)","32.67 % (278)","16.22 % (138)","51.12 % (435)","0.45","7.6.2025 15:10:06","8.6.2025 17:14:49","8.6.2025 23:59:59","6","1.2","0"
"author39 submission_2197378","9","22.22 % (2)","33.33 % (3)","44.44 % (4)","0.00 % (0)","100.00 % (1182)","38.41 % (454)","0.08 % (1)","61.51 % (727)","0.32","5.6.2025 12:23:00","8.6.2025 15:52:56","8.6.2025 23:59:59","8","1.3","0"
"author40 submission_2197379","18","11.11 % (2)","55.56 % (10)","33.33 % (6)","0.00 % (0)","100.00 % (3988)","11.23 % (448)","0.13 % (5)","88.64 % (3535)","0.46","28.5.2025 00:26:55","7.6.2025 16:40:21","8.6.2025 23:59:59","8","2.4","0"
"author41 submission_2197380","8","62.50 % (5)","0.00 % (0)","37.50 % (3)","0.00 % (0)","100.00 % (1271)","35.48 % (451)","0.24 % (3)","64.28 % (817)","0.27","5.6.2025 17:11:05","8.6.2025 23:57:09","8.6.2025 23:59:59","3","3","0"
"author42 submission_2197381","15","33.33 % (5)","40.00 % (6)","26.67 % (4)","0.00 % (0)","100.00 % (1202)","36.44 % (438)","3.41 % (41)","60.15 % (723)","0.27","2.6.2025 15:02:06","8.6.2025 23:26:52","8.6.2025 23:59:59","9","1.8","0"
"author43 submission_2197382","6","33.33 % (2)","33.33 % (2)","33.33 % (2)","0.00 % (0)","100.00 % (1316)","28.27 % (372)","4.03 % (53)","67.71 % (891)","0.53","5.6.2025 20:58:24","8.6.2025 20:28:17","8.6.2025 23:59:59","7","1","0"
