author,total_commits,mixed_commits,source_commits,test_commits,comment_commits,total_changes,source_changes,comment_changes,test_changes,bundling,start_date,end_date,deadline,sessions,avg_commits,avg_changes,index
"author25 submission_1950944","8","50.00 % (4)","37.50 % (3)","0.00 % (0)","12.50 % (1)","100.00 % (198)","53.03 % (105)","22.73 % (45)","24.24 % (48)","0.42","17.4.2024 13:54:28","24.4.2024 22:41:43","28.4.2024 23:59:59","5","1.6","42","0.13"
"author26 submission_1950945","7","71.43 % (5)","28.57 % (2)","0.00 % (0)","0.00 % (0)","100.00 % (200)","41.00 % (82)","18.00 % (36)","41.00 % (82)","0.28","28.4.2024 13:53:24","28.4.2024 23:21:27","28.4.2024 23:59:59","2","3.5","76","0.25"
"author27 submission_1950946","11","63.64 % (7)","27.27 % (3)","9.09 % (1)","0.00 % (0)","100.00 % (280)","45.36 % (127)","2.50 % (7)","52.14 % (146)","0.21","21.4.2024 14:22:54","26.4.2024 15:41:43","28.4.2024 23:59:59","5","2.2","55","0"
"author28 submission_1950947","11","45.45 % (5)","45.45 % (5)","9.09 % (1)","0.00 % (0)","100.00 % (310)","54.84 % (170)","21.29 % (66)","23.87 % (74)","0.26","27.4.2024 13:49:17","28.4.2024 21:28:29","28.4.2024 23:59:59","5","2.2","55","0"
"author29 submission_1950948","3","66.67 % (2)","0.00 % (0)","33.33 % (1)","0.00 % (0)","100.00 % (200)","40.50 % (81)","14.50 % (29)","45.00 % (90)","0.57","20.4.2024 23:04:37","27.4.2024 11:43:19","28.4.2024 23:59:59","2","1.5","100","0.25"
"author1 submission_1950949","7","71.43 % (5)","14.29 % (1)","14.29 % (1)","0.00 % (0)","100.00 % (440)","36.82 % (162)","10.00 % (44)","53.18 % (234)","0.36","24.4.2024 13:49:52","28.4.2024 22:13:43","28.4.2024 23:59:59","5","1.4","73","0"
"author30 submission_1950952","8","100.00 % (8)","0.00 % (0)","0.00 % (0)","0.00 % (0)","100.00 % (375)","46.67 % (175)","21.60 % (81)","31.73 % (119)","0.33","24.4.2024 22:25:50","28.4.2024 22:16:26","28.4.2024 23:59:59","3","2.7","77","0"
"author31 submission_1950953","5","0.00 % (0)","60.00 % (3)","20.00 % (1)","20.00 % (1)","100.00 % (218)","44.95 % (98)","24.31 % (53)","30.73 % (67)","0.43","25.4.2024 17:16:16","26.4.2024 00:44:28","28.4.2024 23:59:59","3","1.7","73","0.25"
"author32 submission_1950954","1","100.00 % (1)","0.00 % (0)","0.00 % (0)","0.00 % (0)","100.00 % (209)","33.97 % (71)","29.19 % (61)","36.84 % (77)","1","24.4.2024 16:43:13","24.4.2024 16:43:13","28.4.2024 23:59:59","1","1","209","0.25"
"author33 submission_1950955","6","100.00 % (6)","0.00 % (0)","0.00 % (0)","0.00 % (0)","100.00 % (205)","36.10 % (74)","18.54 % (38)","45.37 % (93)","0.24","24.4.2024 20:52:26","27.4.2024 15:10:37","28.4.2024 23:59:59","3","2","72","0.25"
"author34 submission_1950957","14","64.29 % (9)","14.29 % (2)","21.43 % (3)","0.00 % (0)","100.00 % (239)","39.75 % (95)","23.43 % (56)","36.82 % (88)","0.29","27.4.2024 18:44:50","28.4.2024 17:06:18","28.4.2024 23:59:59","2","7","35","0"
"author35 submission_1950958","12","33.33 % (4)","58.33 % (7)","8.33 % (1)","0.00 % (0)","100.00 % (118)","68.64 % (81)","4.24 % (5)","27.12 % (32)","0.2","25.4.2024 14:22:06","27.4.2024 19:50:52","28.4.2024 23:59:59","5","2.4","15","0.13"
"author36 - author37 submission_1950959","11","63.64 % (7)","27.27 % (3)","9.09 % (1)","0.00 % (0)","100.00 % (289)","59.86 % (173)","15.22 % (44)","24.91 % (72)","0.27","22.4.2024 15:58:57","27.4.2024 15:26:56","28.4.2024 23:59:59","7","1.6","40","0"
"author38 submission_1950960","6","100.00 % (6)","0.00 % (0)","0.00 % (0)","0.00 % (0)","100.00 % (182)","40.11 % (73)","16.48 % (30)","43.41 % (79)","0.35","26.4.2024 20:57:40","27.4.2024 19:06:07","28.4.2024 23:59:59","2","3","81","0.25"
"author39 submission_1950962","11","27.27 % (3)","54.55 % (6)","18.18 % (2)","0.00 % (0)","100.00 % (283)","46.64 % (132)","5.30 % (15)","48.06 % (136)","0.28","23.4.2024 02:09:30","24.4.2024 15:04:52","28.4.2024 23:59:59","3","3.7","49","0"
"author40 - author41 submission_1950964","12","58.33 % (7)","8.33 % (1)","33.33 % (4)","0.00 % (0)","100.00 % (334)","50.00 % (167)","1.80 % (6)","48.20 % (161)","0.62","26.4.2024 14:45:13","28.4.2024 19:50:22","28.4.2024 23:59:59","3","4","204","0"
"author42 submission_1950965","1","100.00 % (1)","0.00 % (0)","0.00 % (0)","0.00 % (0)","100.00 % (161)","36.65 % (59)","6.21 % (10)","57.14 % (92)","1","28.4.2024 15:56:27","28.4.2024 15:56:27","28.4.2024 23:59:59","1","1","161","0.63"
"author43 submission_1950966","4","25.00 % (1)","25.00 % (1)","25.00 % (1)","25.00 % (1)","100.00 % (132)","42.42 % (56)","14.39 % (19)","43.18 % (57)","0.69","24.4.2024 06:43:23","25.4.2024 18:33:44","28.4.2024 23:59:59","2","2","158","0.38"
"author44 submission_1950969","7","85.71 % (6)","14.29 % (1)","0.00 % (0)","0.00 % (0)","100.00 % (338)","34.91 % (118)","36.69 % (124)","28.40 % (96)","0.28","20.4.2024 13:19:56","20.4.2024 17:24:59","28.4.2024 23:59:59","2","3.5","157","0"
